Date,Time,Open,High,Low,Close,Volume
2016.02.22,0:00,112.572,112.635,112.422,112.523,6779
2016.02.22,4:00,112.526,113.048,112.506,112.888,26983
2016.02.22,8:00,112.888,112.988,112.693,112.875,20931
2016.02.22,12:00,112.874,113.383,112.753,113.346,30927
2016.02.22,16:00,113.345,113.349,112.937,112.981,31737
2016.02.22,20:00,112.98,113.23,112.799,112.833,18639
2016.02.23,0:00,112.836,113.05,112.78,112.952,12727
2016.02.23,4:00,112.952,112.995,111.997,112.095,35670
2016.02.23,8:00,112.107,112.558,111.963,112.136,26172
2016.02.23,12:00,112.134,112.213,111.85,112.05,37632
2016.02.23,16:00,112.05,112.413,111.768,112.06,37899
2016.02.23,20:00,112.06,112.243,111.987,112.044,24649
2016.02.24,0:00,112.044,112.132,111.836,111.905,14810
2016.02.24,4:00,111.905,112.075,111.754,111.905,30789
2016.02.24,8:00,111.905,112.262,111.63,112.114,25295
2016.02.24,12:00,112.114,112.152,111.726,111.747,36734
2016.02.24,16:00,111.749,111.958,111.044,111.05,42734
2016.02.24,20:00,111.052,111.763,111.039,111.644,31483
2016.02.25,0:00,111.645,112.206,111.642,112.062,20150
2016.02.25,4:00,112.063,112.414,111.977,112.325,30045
2016.02.25,8:00,112.325,112.619,111.988,112.167,31210
2016.02.25,12:00,112.167,112.381,111.979,112.308,39067
2016.02.25,16:00,112.308,112.953,112.294,112.673,44893
2016.02.25,20:00,112.673,113.02,112.534,112.786,27930
2016.02.26,0:00,112.787,113.161,112.756,113.137,17199
2016.02.26,4:00,113.138,113.219,112.677,112.868,28397
2016.02.26,8:00,112.867,112.907,112.558,112.869,23034
2016.02.26,12:00,112.87,113.086,112.752,112.81,30239
2016.02.26,16:00,112.81,113.942,112.708,113.914,45741
2016.02.26,20:00,113.915,113.985,113.682,113.878,29732
2016.02.27,0:00,113.878,113.988,113.827,113.984,7483
2016.02.29,0:00,113.947,113.979,113.556,113.713,7253
2016.02.29,4:00,113.716,113.853,113.296,113.324,31445
2016.02.29,8:00,113.323,113.343,112.765,112.993,29496
2016.02.29,12:00,112.993,113.186,112.773,112.968,40395
2016.02.29,16:00,112.968,113.253,112.66,112.877,41101
2016.02.29,20:00,112.875,112.999,112.749,112.813,23598
2016.03.01,0:00,112.813,112.825,112.178,112.408,19297
2016.03.01,4:00,112.408,112.534,112.153,112.524,27018
2016.03.01,8:00,112.524,113.026,112.471,112.952,26444
2016.03.01,12:00,112.952,113.334,112.87,113.052,31243
2016.03.01,16:00,113.052,113.821,112.899,113.592,37261
2016.03.01,20:00,113.591,114.18,113.577,114.05,27388
2016.03.02,0:00,114.054,114.138,113.808,113.912,17389
2016.03.02,4:00,113.916,114.133,113.736,113.875,29044
2016.03.02,8:00,113.875,114.356,113.838,114.243,26189
2016.03.02,12:00,114.243,114.45,114.177,114.362,29678
2016.03.02,16:00,114.362,114.55,113.672,113.917,44358
2016.03.02,20:00,113.917,114.051,113.212,113.43,28515
2016.03.03,0:00,113.428,113.639,113.291,113.484,18306
2016.03.03,4:00,113.485,113.972,113.406,113.962,28853
2016.03.03,8:00,113.963,114.264,113.913,114.128,25636
2016.03.03,12:00,114.131,114.203,113.799,113.996,28078
2016.03.03,16:00,113.996,114.053,113.454,113.58,36280
2016.03.03,20:00,113.58,113.651,113.293,113.578,27085
2016.03.04,0:00,113.581,113.752,113.525,113.687,14205
2016.03.04,4:00,113.686,113.731,113.234,113.664,25436
2016.03.04,8:00,113.667,113.957,113.537,113.868,23478
2016.03.04,12:00,113.873,113.94,113.632,113.747,23800
2016.03.04,16:00,113.748,114.203,113.116,113.794,50815
2016.03.04,20:00,113.795,114.254,113.768,114.057,27841
2016.03.05,0:00,114.057,114.086,113.756,113.769,9302
2016.03.07,0:00,113.922,113.925,113.749,113.823,7426
2016.03.07,4:00,113.824,113.856,113.494,113.692,25489
2016.03.07,8:00,113.69,113.798,113.632,113.716,18157
2016.03.07,12:00,113.715,113.759,113.397,113.568,25072
2016.03.07,16:00,113.567,113.692,113.458,113.516,30643
2016.03.07,20:00,113.515,113.658,113.221,113.254,25661
2016.03.08,0:00,113.253,113.517,113.226,113.487,13257
2016.03.08,4:00,113.485,113.508,112.744,112.967,29701
2016.03.08,8:00,112.967,113.242,112.798,112.934,21718
2016.03.08,12:00,112.935,113.071,112.817,112.963,24545
2016.03.08,16:00,112.967,113.141,112.419,112.442,37832
2016.03.08,20:00,112.443,112.71,112.443,112.605,29909
2016.03.09,0:00,112.605,112.759,112.527,112.691,15503
2016.03.09,4:00,112.691,112.691,112.408,112.66,25400
2016.03.09,8:00,112.663,112.728,112.439,112.461,20375
2016.03.09,12:00,112.465,112.664,112.223,112.485,28941
2016.03.09,16:00,112.483,113.158,112.458,112.892,30537
2016.03.09,20:00,112.892,113.404,112.876,113.388,23839
2016.03.10,0:00,113.386,113.449,113.195,113.229,13164
2016.03.10,4:00,113.229,113.79,113.147,113.755,25578
2016.03.10,8:00,113.755,113.802,113.472,113.587,19607
2016.03.10,12:00,113.583,113.626,113.349,113.576,22694
2016.03.10,16:00,113.576,114.443,113.309,113.382,51930
2016.03.10,20:00,113.384,113.544,112.603,113.066,39186
2016.03.11,0:00,113.068,113.289,112.794,112.845,17926
2016.03.11,4:00,112.845,113.521,112.749,113.482,27972
2016.03.11,8:00,113.482,113.769,113.355,113.72,22104
2016.03.11,12:00,113.72,113.913,113.681,113.761,26770
2016.03.11,16:00,113.761,113.824,113.334,113.506,27627
2016.03.11,20:00,113.503,113.812,113.458,113.705,19422
2016.03.12,0:00,113.706,113.851,113.679,113.795,5342
2016.03.14,0:00,113.912,113.917,113.639,113.77,7613
2016.03.14,4:00,113.77,114.002,113.714,113.838,18447
2016.03.14,8:00,113.838,113.938,113.691,113.766,17243
2016.03.14,12:00,113.766,113.766,113.503,113.708,23194
2016.03.14,16:00,113.707,113.791,113.581,113.588,26919
2016.03.14,20:00,113.589,113.874,113.539,113.809,17848
2016.03.15,0:00,113.809,113.858,113.738,113.824,7965
2016.03.15,4:00,113.825,114.143,113.356,113.494,25437
2016.03.15,8:00,113.494,113.568,113.038,113.065,27394
